notification_id,patient_id,channel,type,message,sent_at,status
NTF0005402,PTNS152,Push,Promotion,Reprehenderit magnam reprehenderit voluptas aliquam culpa minima quis est aut officiis ducimus blanditiis.,2026-05-11 22:04:20,Delivered
NTF0005403,PTNT341,WhatsApp,ReportReady,Quis laborum nobis dolorem quam veniam.,2026-02-23 00:52:06,Delivered
NTF0005404,PTNCB207,Push,ReportReady,Accusantium quasi exercitationem pariatur expedita nihil commodi aliquam cumque illo doloribus.,2025-11-05 13:46:11,Delivered
NTF0005405,PTNT457,Email,VaccinationDue,Dolores vero molestiae consequatur quo iure neque sapiente laborum sit non.,2025-07-16 05:33:12,Failed
NTF0005406,PTNT428,Push,PaymentDue,Autem omnis doloribus non voluptate vel sunt modi minus voluptatem fugiat explicabo vitae.,2026-01-15 05:29:50,Delivered
NTF0005407,PTNTN437,WhatsApp,ReportReady,Sint voluptates sint odit voluptatem molestias architecto ea repellendus mollitia tempore.,2025-08-15 07:41:40,Failed
NTF0005408,PTNH060,SMS,PaymentDue,Blanditiis quas itaque reiciendis magni at voluptatem alias numquam ad quis enim saepe.,2025-09-21 08:00:24,Delivered
NTF0005409,PTNT377,SMS,ReportReady,Laboriosam adipisci corporis quisquam atque impedit et.,2026-03-08 00:28:56,Delivered
NTF0005410,PTNS326,WhatsApp,FollowUp,Impedit accusantium sequi voluptate praesentium reprehenderit.,2025-12-16 21:04:52,Delivered
NTF0005411,PTNM478,Push,FollowUp,Ea quis unde sapiente cupiditate mollitia dolorem.,2025-10-07 07:59:37,Delivered
NTF0005412,PTNC292,Push,AppointmentReminder,Explicabo et quod accusamus amet possimus consectetur consequuntur commodi.,2025-11-19 03:55:29,Delivered
NTF0005413,PTNC101,Push,PaymentDue,Quam consequuntur nam placeat magnam placeat recusandae ex labore nobis.,2026-06-07 16:23:58,Delivered
NTF0005414,PTNTN315,SMS,FollowUp,Ipsa officia asperiores ut quia quos occaecati nemo eum esse iure.,2026-04-27 02:10:25,Delivered
NTF0005415,PTNTN282,SMS,VaccinationDue,Laboriosam soluta accusamus quas consequatur nostrum maxime et autem natus esse.,2026-01-21 16:33:05,Delivered
NTF0005416,PTNT471,Email,ReportReady,Ea veniam debitis at modi fuga.,2026-02-20 18:02:34,Delivered
NTF0005417,PTNM039,Push,Promotion,Necessitatibus ipsum quia optio eligendi recusandae.,2026-02-27 01:08:05,Delivered
NTF0005418,PTNT425,Email,VaccinationDue,Corrupti id ex quibusdam repellendus nesciunt ipsam accusantium perferendis.,2025-11-26 01:58:58,Delivered
NTF0005419,PTNC451,Email,FollowUp,Sapiente cupiditate quae modi voluptate repellendus.,2026-05-22 05:39:28,Delivered
NTF0005420,PTNE074,WhatsApp,VaccinationDue,Adipisci reiciendis magnam minus consectetur debitis magni eveniet.,2026-02-11 03:10:14,Delivered
NTF0005421,PTNM012,SMS,Promotion,Doloribus deserunt laudantium totam aliquam hic illo nihil.,2026-03-26 12:38:13,Delivered
NTF0005422,PTNV332,Push,PaymentDue,Optio modi incidunt perferendis nemo tempora aut dolore laborum quaerat inventore.,2026-02-20 05:38:47,Delivered
NTF0005423,PTNE275,Push,PaymentDue,Porro consequuntur dolores inventore architecto saepe quis cumque unde.,2025-07-09 16:59:29,Delivered
NTF0005424,PTNV093,SMS,Promotion,Nostrum tempore adipisci magnam quaerat nobis maiores pariatur ab facilis laborum a quam.,2025-10-24 06:21:25,Delivered
NTF0005425,PTNCB447,SMS,PaymentDue,Sint mollitia perspiciatis nesciunt suscipit repellendus.,2025-11-24 19:51:53,Pending
NTF0005426,PTNC468,WhatsApp,Promotion,Dolor omnis aperiam recusandae nobis id aut occaecati.,2026-05-20 13:20:05,Delivered
NTF0005427,PTNM106,Push,FollowUp,Debitis fuga necessitatibus nihil voluptate sapiente voluptate occaecati suscipit perspiciatis sapiente quia.,2025-11-13 16:02:42,Delivered
NTF0005428,PTNT373,SMS,FollowUp,Corporis velit molestiae voluptas optio voluptatem et.,2025-08-16 07:51:51,Delivered
NTF0005429,PTNH286,Push,VaccinationDue,Tempore odit voluptatibus eligendi minus suscipit.,2026-06-12 06:37:49,Delivered
NTF0005430,PTNC272,Email,FollowUp,Quasi aliquam consequatur consectetur cupiditate illum dolores.,2026-01-23 10:48:41,Delivered
NTF0005431,PTNE343,WhatsApp,AppointmentReminder,Mollitia veritatis dolore illum dolore consectetur.,2025-11-30 17:30:17,Delivered
NTF0005432,PTNE308,SMS,Promotion,Veritatis reprehenderit distinctio accusantium error quos.,2026-02-21 10:24:00,Delivered
NTF0005433,PTNH443,Email,Promotion,Quam ex temporibus autem eligendi fuga sed aperiam eum nisi illo soluta pariatur.,2025-12-28 23:28:02,Pending
NTF0005434,PTNV394,Email,VaccinationDue,Sed in repellat corporis officiis sit vel.,2026-06-02 05:26:31,Delivered
NTF0005435,PTNM190,WhatsApp,PaymentDue,Eaque blanditiis dicta consequuntur quam dolorum omnis autem soluta pariatur.,2025-10-10 14:18:44,Delivered
NTF0005436,PTNTJ182,Email,Promotion,Animi iure animi molestiae expedita suscipit iusto repellat.,2026-01-08 20:21:00,Delivered
NTF0005437,PTNS303,SMS,VaccinationDue,Ea reiciendis dolorum cupiditate magni aspernatur ipsa magni expedita quasi eius.,2025-11-02 15:08:42,Delivered
NTF0005438,PTNE008,WhatsApp,Promotion,Animi at architecto dignissimos cumque sapiente repudiandae vitae laudantium aut labore.,2026-05-03 20:12:50,Delivered
NTF0005439,PTNV134,SMS,ReportReady,Nobis occaecati aliquam beatae maxime ipsa.,2025-11-19 06:27:54,Delivered
NTF0005440,PTNS336,Email,Promotion,Quisquam voluptatem omnis illo suscipit nemo magni dicta laboriosam dignissimos eius impedit.,2026-03-17 05:16:51,Delivered
NTF0005441,PTNE353,WhatsApp,ReportReady,Distinctio recusandae at et incidunt beatae harum.,2025-08-31 11:42:30,Delivered
NTF0005442,PTNTN120,SMS,FollowUp,Necessitatibus nostrum sequi iste numquam illo.,2025-06-21 22:20:25,Delivered
NTF0005443,PTNE244,SMS,VaccinationDue,Quasi at repellat sint qui quo dignissimos dolorem eius.,2025-10-06 18:39:50,Delivered
NTF0005444,PTNTJ111,Push,Promotion,Eaque consequuntur in numquam perspiciatis iste voluptates officia.,2026-06-06 08:10:32,Delivered
NTF0005445,PTNH147,Email,ReportReady,Voluptas rem perferendis cumque unde accusamus tempora eligendi ipsa.,2025-08-23 13:08:57,Delivered
NTF0005446,PTNM152,Email,FollowUp,Hic ipsum facilis commodi quam similique quam.,2026-04-08 07:57:39,Delivered
NTF0005447,PTNTN263,SMS,AppointmentReminder,Modi nisi ullam animi non voluptatem voluptas doloremque iure.,2025-11-08 11:50:09,Delivered
NTF0005448,PTNE397,Push,Promotion,Autem at minima ducimus quibusdam inventore repudiandae numquam consequuntur eum pariatur debitis.,2025-12-20 03:58:33,Delivered
NTF0005449,PTNCB349,Push,AppointmentReminder,Eius suscipit nulla sit odit itaque voluptates iusto saepe tempora quia tenetur veniam.,2025-09-18 08:23:37,Delivered
NTF0005450,PTNH122,Email,ReportReady,Recusandae veritatis rerum aspernatur sunt neque omnis nostrum.,2025-12-26 07:26:01,Delivered
NTF0005451,PTNV315,SMS,PaymentDue,Ab esse eaque placeat sed quo distinctio error deleniti quo rerum assumenda esse.,2026-02-23 18:33:41,Delivered
NTF0005452,PTNM016,Push,PaymentDue,Laboriosam magni cupiditate assumenda odio ipsum unde aspernatur optio officiis voluptate ipsum.,2025-12-10 17:50:55,Delivered
NTF0005453,PTNV151,SMS,Promotion,Accusantium iste et non sed suscipit voluptatem voluptate assumenda quasi.,2026-03-19 08:24:43,Delivered
NTF0005454,PTNM306,Push,PaymentDue,Possimus blanditiis laborum beatae velit accusantium officia nemo fugiat architecto cupiditate.,2025-12-21 19:06:18,Delivered
NTF0005455,PTNTN450,Push,ReportReady,Quod dicta odio corrupti culpa ipsam consequuntur ipsam.,2025-12-28 09:36:37,Failed
NTF0005456,PTNC403,WhatsApp,PaymentDue,Amet illum non placeat adipisci esse ipsum rem id ullam asperiores.,2025-12-13 03:13:21,Delivered
NTF0005457,PTNS051,SMS,PaymentDue,Quam distinctio tempora ipsam voluptates atque esse veniam.,2025-08-19 13:03:18,Delivered
NTF0005458,PTNC253,SMS,ReportReady,Sunt officiis animi provident at minus consequatur modi doloremque mollitia inventore.,2025-12-04 17:33:03,Delivered
NTF0005459,PTNE489,SMS,FollowUp,Veniam cum eos quae laborum iure officiis pariatur.,2025-11-19 20:28:52,Failed
NTF0005460,PTNV376,WhatsApp,VaccinationDue,Expedita excepturi ipsam iste amet optio similique.,2026-05-08 00:01:20,Delivered
NTF0005461,PTNV430,Email,FollowUp,Laborum facilis molestias inventore aliquid consequuntur delectus corporis incidunt aliquid officia optio.,2026-02-24 15:00:18,Delivered
NTF0005462,PTNS028,SMS,ReportReady,Culpa nihil ad vel eos vel pariatur expedita autem voluptate illo.,2025-08-14 05:20:50,Delivered
NTF0005463,PTNTN273,Email,FollowUp,Praesentium praesentium quis excepturi voluptates sint minus sequi reiciendis molestiae ut consequatur explicabo.,2026-05-22 04:52:22,Delivered
NTF0005464,PTNS456,WhatsApp,PaymentDue,Vel ab possimus delectus odit ipsa dolor eum quisquam nesciunt.,2025-07-02 01:40:12,Delivered
NTF0005465,PTNM277,Push,FollowUp,Blanditiis asperiores harum nobis in velit officiis minima non earum excepturi.,2025-09-07 13:06:55,Delivered
NTF0005466,PTNE286,Email,ReportReady,Assumenda magni iste alias optio iure deserunt.,2025-09-14 04:18:26,Delivered
NTF0005467,PTNH111,WhatsApp,Promotion,Placeat animi quas fuga libero sunt quidem deserunt harum exercitationem voluptatibus.,2026-03-29 16:38:08,Delivered
NTF0005468,PTNTN190,WhatsApp,Promotion,Illum reprehenderit excepturi nemo dicta culpa temporibus rerum laboriosam.,2025-09-21 05:51:48,Delivered
NTF0005469,PTNTN441,Email,FollowUp,Vitae quod repellat quibusdam quas repudiandae ratione assumenda perferendis.,2026-03-18 21:48:59,Delivered
NTF0005470,PTNH431,SMS,VaccinationDue,Natus a inventore odit nam quam placeat qui architecto esse repellat.,2025-07-11 12:23:54,Delivered
NTF0005471,PTNV229,Email,AppointmentReminder,Eos cumque exercitationem iusto ea adipisci nesciunt quos.,2026-05-04 09:39:26,Delivered
NTF0005472,PTNT082,WhatsApp,VaccinationDue,Adipisci repellendus temporibus ratione iure laboriosam architecto est quas.,2026-05-11 21:43:44,Delivered
NTF0005473,PTNTJ406,SMS,Promotion,Officiis similique dignissimos nam culpa velit nemo.,2025-09-23 15:24:43,Failed
NTF0005474,PTNTJ325,Email,AppointmentReminder,Officiis quis velit sint molestias explicabo est sunt repellendus esse blanditiis.,2026-03-22 19:18:32,Delivered
NTF0005475,PTNT500,Email,VaccinationDue,Maxime pariatur dolorem magni magnam odit sunt ex accusamus.,2026-01-06 15:45:45,Delivered
NTF0005476,PTNE482,SMS,Promotion,Et reprehenderit ducimus molestiae temporibus veritatis tempore pariatur odio quod occaecati nam.,2026-02-04 22:05:52,Failed
NTF0005477,PTNS364,WhatsApp,PaymentDue,Non non rerum minima eos fugiat dolor qui quidem facilis.,2026-02-07 10:57:57,Delivered
NTF0005478,PTNM090,WhatsApp,AppointmentReminder,Odio eligendi cupiditate occaecati beatae ex eaque quasi.,2026-06-12 04:39:45,Delivered
NTF0005479,PTNM348,SMS,FollowUp,Eligendi aspernatur nemo atque aliquam inventore saepe magnam.,2025-07-29 10:07:39,Delivered
NTF0005480,PTNTJ181,Push,AppointmentReminder,Corporis labore repellat sequi recusandae sed quam illo ut quo sint.,2026-06-07 04:28:16,Delivered
NTF0005481,PTNTN054,WhatsApp,Promotion,Neque id sunt ratione aliquam dolore aperiam repudiandae dolore laborum adipisci.,2026-02-09 13:56:46,Delivered
NTF0005482,PTNCB402,SMS,AppointmentReminder,Veritatis corporis enim possimus similique sit odit modi minima nihil.,2026-06-11 14:27:36,Delivered
NTF0005483,PTNT434,SMS,VaccinationDue,Non explicabo repellendus repellendus repellat totam sed repellat explicabo.,2026-06-02 02:31:11,Delivered
NTF0005484,PTNM161,Push,Promotion,Numquam placeat molestias expedita ut porro quis accusamus est aliquam tenetur voluptatibus.,2025-09-26 16:28:22,Delivered
NTF0005485,PTNTN284,Email,FollowUp,Error cumque commodi exercitationem qui assumenda quae enim quod corrupti officia eius.,2025-09-22 03:20:15,Delivered
NTF0005486,PTNS153,SMS,FollowUp,Facilis sapiente illo explicabo qui nisi optio.,2025-11-14 14:22:35,Delivered
NTF0005487,PTNH034,WhatsApp,ReportReady,Aut adipisci facilis quia mollitia molestias.,2025-07-29 10:48:36,Delivered
NTF0005488,PTNTJ283,Push,VaccinationDue,Magni blanditiis porro excepturi nulla tempora voluptatum.,2025-10-12 21:57:22,Delivered
NTF0005489,PTNTN448,Push,ReportReady,Inventore incidunt quos quo quae nesciunt cumque.,2025-10-19 11:25:31,Delivered
NTF0005490,PTNT195,Push,AppointmentReminder,Dolorem ex nemo illum sunt doloremque alias modi illo iste explicabo necessitatibus.,2025-11-01 04:59:38,Delivered
NTF0005491,PTNV001,Email,PaymentDue,Unde ad eveniet iusto numquam dolores.,2026-05-21 21:32:32,Delivered
NTF0005492,PTNT430,WhatsApp,FollowUp,Doloremque id cupiditate necessitatibus doloremque assumenda architecto autem inventore harum molestias veniam.,2025-07-03 09:16:15,Delivered
NTF0005493,PTNT315,Push,AppointmentReminder,Nesciunt aliquam velit repellat illo odit rem beatae.,2025-11-27 05:10:16,Delivered
NTF0005494,PTNTN054,Push,Promotion,Tenetur illo iste sunt nostrum dicta deleniti eum.,2025-12-05 22:30:12,Delivered
NTF0005495,PTNT117,Email,ReportReady,Unde rerum impedit illum unde libero reiciendis repudiandae nisi pariatur iste illo facilis.,2026-02-07 19:34:08,Delivered
NTF0005496,PTNTN081,SMS,FollowUp,Commodi commodi atque neque recusandae accusantium et sed.,2026-04-11 12:36:51,Delivered
NTF0005497,PTNTJ402,Push,AppointmentReminder,Fuga repellat numquam beatae accusamus dolor accusantium nobis soluta error.,2025-10-28 05:43:02,Delivered
NTF0005498,PTNV364,Push,AppointmentReminder,Est odio corrupti est possimus cum aliquam eaque similique accusamus.,2026-01-25 20:19:12,Delivered
NTF0005499,PTNTN127,WhatsApp,AppointmentReminder,Reiciendis expedita iusto soluta reiciendis amet tenetur ex quasi.,2026-02-10 23:29:04,Delivered
NTF0005500,PTNTJ064,Push,VaccinationDue,Nihil dolor fugiat dolore corporis molestias ratione sint cupiditate iste qui provident veritatis.,2026-04-26 04:16:42,Delivered
NTF0005501,PTNTJ264,Push,PaymentDue,Laborum asperiores veniam tempora ipsum adipisci repellendus at eligendi eveniet eveniet.,2026-05-31 09:54:56,Delivered
NTF0005502,PTNS250,SMS,Promotion,Iste fugit atque possimus repellendus enim rem ea asperiores vitae nesciunt.,2026-01-21 08:04:15,Delivered
NTF0005503,PTNC431,WhatsApp,Promotion,Animi fugiat illum maiores delectus sequi voluptates laudantium id aspernatur maxime officia eius.,2025-12-07 10:34:57,Delivered
NTF0005504,PTNH319,SMS,Promotion,Itaque voluptatibus in dolor praesentium ullam dicta corrupti asperiores consectetur earum.,2025-07-01 10:59:57,Delivered
NTF0005505,PTNCB324,Push,FollowUp,Dicta pariatur tempore quae perspiciatis repellat nostrum rem.,2025-11-18 00:25:34,Delivered
NTF0005506,PTNE137,Email,VaccinationDue,Minima fugiat hic earum aperiam reprehenderit doloribus exercitationem eos.,2026-04-27 05:53:53,Delivered
NTF0005507,PTNT496,SMS,PaymentDue,Hic id facere tempore minima recusandae assumenda voluptatem modi assumenda soluta eius.,2026-03-27 18:27:08,Delivered
NTF0005508,PTNH223,Email,PaymentDue,Et unde voluptatem architecto voluptatum vitae soluta consequatur aliquid provident totam.,2026-03-15 05:35:39,Delivered
NTF0005509,PTNCB126,Email,VaccinationDue,Alias nemo animi repellat temporibus asperiores enim tempora.,2025-10-12 02:30:57,Delivered
NTF0005510,PTNM439,SMS,FollowUp,Libero quod quod dolorum quasi alias aliquam tempora nobis cupiditate ut ex.,2026-05-22 17:01:07,Delivered
NTF0005511,PTNE090,Email,FollowUp,In labore voluptate cumque possimus dicta natus ipsam magnam laudantium blanditiis.,2025-11-06 22:44:22,Delivered
NTF0005512,PTNT353,SMS,ReportReady,Voluptate porro hic fugiat explicabo non.,2026-03-25 20:18:19,Delivered
NTF0005513,PTNT034,Email,Promotion,Possimus animi eos hic voluptate doloremque reprehenderit.,2026-04-25 10:03:20,Delivered
NTF0005514,PTNTJ140,Push,FollowUp,Tempore mollitia aliquam ullam explicabo magnam inventore fugiat qui.,2025-11-11 21:47:00,Delivered
NTF0005515,PTNC355,Email,ReportReady,Laboriosam assumenda voluptas inventore tempora et.,2025-07-09 09:23:58,Failed
NTF0005516,PTNV208,WhatsApp,FollowUp,Repudiandae sed consectetur maiores fugit atque.,2025-11-07 16:44:14,Delivered
NTF0005517,PTNV304,SMS,VaccinationDue,Dolor modi esse quos non consequatur incidunt.,2025-11-29 05:41:55,Delivered
NTF0005518,PTNV276,SMS,ReportReady,Error velit consequatur officiis beatae possimus dolores necessitatibus modi est.,2025-12-07 09:58:35,Delivered
NTF0005519,PTNTN328,Email,VaccinationDue,Sequi assumenda deserunt aspernatur neque ut.,2026-01-11 07:45:00,Pending
NTF0005520,PTNTJ219,WhatsApp,PaymentDue,Vero placeat doloremque magni natus saepe nemo excepturi dolor.,2025-10-24 05:10:03,Delivered
NTF0005521,PTNH129,SMS,ReportReady,Odit in magnam deserunt voluptate aut voluptatem repudiandae.,2025-11-19 10:31:56,Delivered
NTF0005522,PTNS163,WhatsApp,AppointmentReminder,Vel officia eaque eaque impedit vel itaque error commodi qui.,2025-07-24 19:28:12,Delivered
NTF0005523,PTNTJ080,Email,FollowUp,Eius sed officiis suscipit aut aut similique aspernatur at ex ullam voluptate debitis.,2026-06-03 22:49:21,Delivered
NTF0005524,PTNH015,Push,FollowUp,Numquam cum maxime maxime adipisci magni.,2025-12-26 00:01:14,Delivered
NTF0005525,PTNV149,Email,ReportReady,Tempora corporis ipsam voluptas a praesentium earum veritatis sunt error.,2025-12-19 04:17:00,Delivered
NTF0005526,PTNS035,Push,AppointmentReminder,Vitae dicta commodi iste inventore aut autem consequatur non distinctio voluptatum.,2026-02-10 23:18:19,Delivered
NTF0005527,PTNC351,WhatsApp,PaymentDue,Quia aspernatur eos maxime deleniti eligendi illo asperiores.,2026-04-19 19:13:08,Delivered
NTF0005528,PTNS257,Push,AppointmentReminder,Recusandae ratione beatae fugit laboriosam architecto ex ea illo cum deserunt sunt alias.,2025-12-31 15:40:28,Delivered
NTF0005529,PTNTJ040,SMS,Promotion,Laudantium dolorum voluptatum nobis distinctio minima iure aut fugit.,2025-11-15 10:43:49,Delivered
NTF0005530,PTNCB130,Email,AppointmentReminder,Unde quisquam voluptatem soluta tenetur voluptatem.,2025-11-08 12:27:42,Delivered
NTF0005531,PTNE460,Push,AppointmentReminder,Officia nulla qui repellendus voluptates impedit ullam quasi soluta optio doloremque maiores excepturi.,2026-05-03 10:56:39,Delivered
NTF0005532,PTNM255,SMS,Promotion,Ipsum ex consequatur laboriosam sed repellat quos aperiam pariatur eveniet ullam dolorum.,2025-06-21 06:34:01,Delivered
NTF0005533,PTNE068,SMS,AppointmentReminder,Ex eum voluptate natus perspiciatis quidem sed.,2025-07-18 05:16:58,Delivered
NTF0005534,PTNE241,Push,AppointmentReminder,Temporibus placeat voluptates necessitatibus maxime consequuntur.,2025-10-13 05:20:01,Delivered
NTF0005535,PTNCB429,Push,PaymentDue,Corporis animi doloremque id rerum eum perferendis fugit tempore quia consectetur.,2025-10-02 00:20:57,Delivered
NTF0005536,PTNC261,Push,AppointmentReminder,Recusandae impedit possimus ratione nihil a magni perspiciatis.,2026-04-18 07:30:05,Delivered
NTF0005537,PTNM164,SMS,VaccinationDue,Nulla doloremque molestias perspiciatis minus saepe deserunt.,2025-12-06 17:33:22,Failed
NTF0005538,PTNH032,Email,Promotion,Distinctio a similique porro blanditiis quis animi aliquam dolores magnam autem aperiam ipsam similique.,2025-09-30 08:56:24,Delivered
NTF0005539,PTNTJ462,Push,VaccinationDue,Harum rerum repudiandae rerum animi eaque ipsum accusamus corporis vitae deleniti a.,2026-03-09 17:25:48,Delivered
NTF0005540,PTNH346,SMS,FollowUp,At vel eveniet deleniti labore facere ullam error illo quaerat vel rem sed.,2026-01-27 21:10:54,Pending
NTF0005541,PTNC446,Email,FollowUp,Quae quaerat eius debitis quas quisquam consequatur voluptate minus quasi iusto aspernatur.,2026-01-03 12:26:41,Delivered
NTF0005542,PTNTJ234,Email,PaymentDue,Perspiciatis exercitationem quos fugit fuga est omnis.,2026-03-16 12:17:51,Delivered
NTF0005543,PTNE082,Push,AppointmentReminder,Natus inventore fugit optio minus soluta placeat.,2026-02-04 07:00:49,Delivered
NTF0005544,PTNM288,SMS,ReportReady,Tenetur commodi unde at neque in earum eveniet ex eum dicta ea itaque.,2025-07-28 00:59:30,Delivered
NTF0005545,PTNV459,Push,ReportReady,Nesciunt recusandae praesentium dolore eaque excepturi eveniet veritatis deserunt.,2026-05-30 06:32:05,Pending
NTF0005546,PTNV433,SMS,AppointmentReminder,Fugiat temporibus id earum libero dignissimos sunt vero hic.,2026-02-12 06:46:11,Delivered
NTF0005547,PTNTJ285,Email,ReportReady,Rem optio blanditiis sit quis laudantium possimus nostrum sit animi asperiores ut.,2025-12-05 21:05:58,Delivered
NTF0005548,PTNS433,SMS,VaccinationDue,Ipsam blanditiis laudantium eum quibusdam ea dolore laboriosam magnam blanditiis.,2026-06-09 02:27:44,Delivered
NTF0005549,PTNC097,Email,AppointmentReminder,Quae saepe architecto aut sit amet.,2026-03-29 10:33:28,Delivered
NTF0005550,PTNS317,SMS,VaccinationDue,Provident quisquam sed nemo iusto animi neque ipsa harum.,2025-11-13 04:43:29,Delivered
NTF0005551,PTNE092,Email,Promotion,Ea sunt in nulla dolorem cumque illum vel sunt.,2025-10-27 20:38:54,Delivered
NTF0005552,PTNTJ053,Email,FollowUp,In odit tempore libero sed enim facilis consequatur nam commodi quod saepe maxime.,2025-10-24 23:44:14,Delivered
NTF0005553,PTNE183,Push,AppointmentReminder,Architecto repellendus rem eligendi molestiae aliquam est hic laboriosam deleniti esse.,2025-08-05 21:01:09,Delivered
NTF0005554,PTNTN382,SMS,VaccinationDue,Laboriosam beatae at earum delectus assumenda quidem dolorem ipsam.,2025-08-13 12:07:18,Delivered
NTF0005555,PTNM454,Push,FollowUp,Tempora magnam error recusandae cumque consectetur excepturi enim facere hic.,2026-05-18 21:59:48,Delivered
NTF0005556,PTNH203,WhatsApp,ReportReady,Hic ex libero aliquam hic excepturi eligendi tempora totam.,2025-07-28 12:50:29,Delivered
NTF0005557,PTNH389,SMS,FollowUp,Ratione tempore facilis tempora earum vitae adipisci.,2025-12-05 15:48:37,Delivered
NTF0005558,PTNM385,Email,AppointmentReminder,Magnam aliquam occaecati blanditiis corporis quod voluptas reiciendis perspiciatis aperiam sunt sapiente repellendus.,2025-07-30 10:12:04,Delivered
NTF0005559,PTNM435,Push,Promotion,Explicabo quibusdam optio rem quos cum cupiditate adipisci eaque mollitia.,2025-06-30 17:40:31,Delivered
NTF0005560,PTNS244,Push,PaymentDue,Officiis fugit vel est cupiditate molestiae maiores eaque eius vero.,2025-10-18 04:19:03,Delivered
NTF0005561,PTNE216,SMS,AppointmentReminder,Illo magni error impedit vel cumque quisquam reiciendis.,2026-04-04 23:04:09,Delivered
NTF0005562,PTNC060,Email,FollowUp,Omnis doloremque vel quo deserunt repudiandae alias cupiditate.,2025-08-26 14:03:52,Delivered
NTF0005563,PTNCB381,WhatsApp,VaccinationDue,Dignissimos accusamus aperiam exercitationem illum sapiente enim ad odio.,2025-09-08 15:37:07,Delivered
NTF0005564,PTNS109,SMS,FollowUp,Reprehenderit sequi recusandae dolore esse officia.,2025-07-19 04:31:29,Pending
NTF0005565,PTNTN445,Email,PaymentDue,Debitis voluptatibus iusto eaque error quod a aperiam.,2025-10-20 19:10:23,Delivered
NTF0005566,PTNS425,WhatsApp,ReportReady,Hic modi necessitatibus a aliquam vel molestias ipsum illum.,2025-07-05 08:35:24,Delivered
NTF0005567,PTNV026,Push,VaccinationDue,Perferendis exercitationem voluptatum dignissimos iusto possimus porro molestiae minus nam ullam nostrum explicabo.,2026-01-19 11:50:43,Delivered
NTF0005568,PTNH123,Push,ReportReady,Cumque laborum suscipit error et reprehenderit nam vitae aspernatur.,2025-07-27 11:07:52,Delivered
NTF0005569,PTNH317,Push,Promotion,A illo commodi quo cumque quia voluptatibus fugiat placeat odit.,2025-09-28 04:34:49,Delivered
NTF0005570,PTNM262,Push,VaccinationDue,Non repellendus rerum aperiam consectetur modi magnam qui quisquam est ut.,2025-11-18 03:38:17,Delivered
NTF0005571,PTNE253,SMS,Promotion,Repellat dolor dolore itaque reprehenderit aliquam veritatis magni totam vel ducimus eligendi.,2026-03-13 02:20:04,Delivered
NTF0005572,PTNT061,Push,AppointmentReminder,Nulla cum aliquam voluptatum aperiam laborum facere.,2025-07-04 02:37:36,Delivered
NTF0005573,PTNH427,WhatsApp,PaymentDue,Cupiditate cupiditate tempore voluptas iste soluta.,2026-05-18 20:32:22,Pending
NTF0005574,PTNS419,Email,Promotion,Amet ipsum rerum eveniet mollitia vero repudiandae quia aperiam dolor magni.,2025-11-20 11:07:36,Delivered
NTF0005575,PTNC211,WhatsApp,PaymentDue,Voluptatum porro similique id ducimus aut in architecto.,2026-01-23 02:23:11,Delivered
NTF0005576,PTNE159,WhatsApp,VaccinationDue,Cupiditate explicabo illum cupiditate commodi ea nesciunt laboriosam.,2026-03-21 17:08:48,Delivered
NTF0005577,PTNTJ200,SMS,ReportReady,Nam sequi unde sed molestias in autem.,2026-03-25 20:51:51,Delivered
NTF0005578,PTNTN356,WhatsApp,FollowUp,Cupiditate ipsam dolorem nemo autem optio fugit incidunt eaque.,2025-12-03 19:49:48,Delivered
NTF0005579,PTNT482,Email,AppointmentReminder,Excepturi esse incidunt placeat eum quaerat vero voluptas exercitationem consequuntur.,2026-02-07 11:47:50,Delivered
NTF0005580,PTNCB086,SMS,PaymentDue,Suscipit architecto voluptatem autem id cumque quia occaecati.,2025-07-27 13:47:41,Delivered
NTF0005581,PTNT234,WhatsApp,AppointmentReminder,Quisquam accusamus illo eligendi a deleniti sapiente aliquid.,2026-02-07 22:06:33,Delivered
NTF0005582,PTNCB447,WhatsApp,PaymentDue,Quibusdam et enim fugit officia accusantium aspernatur labore dolorum distinctio vero reprehenderit excepturi.,2025-08-02 18:48:38,Delivered
NTF0005583,PTNS339,Email,VaccinationDue,Reprehenderit id quasi explicabo ipsam ad occaecati.,2026-01-07 10:00:15,Delivered
NTF0005584,PTNT173,SMS,Promotion,Ad rerum porro quis necessitatibus a illum laboriosam.,2026-01-29 09:43:17,Delivered
NTF0005585,PTNE312,SMS,FollowUp,Voluptatem eius veniam voluptatum reprehenderit perferendis nesciunt minus culpa suscipit corrupti earum.,2026-04-08 19:08:38,Delivered
NTF0005586,PTNM245,Push,Promotion,Eveniet quibusdam nostrum rerum aliquid unde recusandae nesciunt neque aliquid laborum voluptates quos.,2026-02-11 13:24:35,Delivered
NTF0005587,PTNT389,Email,AppointmentReminder,Eveniet culpa sequi non beatae harum hic accusantium natus natus eum.,2026-03-26 19:57:14,Delivered
NTF0005588,PTNT151,Email,FollowUp,Laborum dolorem cumque saepe praesentium consequuntur commodi quasi corporis labore.,2025-08-28 23:25:18,Delivered
NTF0005589,PTNE352,SMS,AppointmentReminder,Minus voluptate dolorum expedita eum eius dolore nemo corporis officiis praesentium perspiciatis.,2026-02-27 19:05:40,Delivered
